short_name,character,unicode,categories,search_keyword
draw-rectangle,,/e171,"actions,objects","draw,rectangle,resize,shape,create"
document,,/e172,documents,"document,page,file,attachment,blank,new"
doctor,,/e173,"medical,people","doctor,medical,cross,emergency,hospital"
discussion-2,,/e174,callout,"speech,bubble,comment,discussion,text"
discussion,,/e175,callout,"speech,bubble,comment,discussion,blank"
dimension,,/e176,objects,"dimension,layers,stacked"
customer-and-supplier,,/e177,people,"customer and supplier,package,product,satisfaction,returns,warehouse,person,seller,buyer,inventory"
crop,,/e178,actions,"crop,clip,snip,cut,picture,image,shape,obect"
add-contact,,/e179,people,"person,contact,business card,customer,details,address,information,add,plus,additional,another,more"
compare-2,,/e17a,"actions,objects","compare,law,legal,justice,scale,measure,weight,balance,compare,comparison"
color-fill,,/e17b,objects,"square,filled,color"
collision,,/e17c,"objects,transport","car,crash,accident,damage"
curriculum,,/e17d,folder,"folder,curriculum,learning,documents,content"
chart-axis,,/e17e,charts,"analytics,chart,display,data,chart axis,arrows,directions"
full-stacked-chart,,/e17f,charts,"analytics,chart,display,data,full stacked chart"
full-stacked-column-chart,,/e180,charts,"analytics,chart,display,data,full stacked column chart"
vertical-bar-chart-2,,/e181,charts,"analytics,chart,display,data,vertical bar chart,column"
horizontal-bar-chart-2,,/e182,charts,"analytics,chart,display,data,horizontal bar chart"
horizontal-stacked-chart,,/e183,charts,"analytics,chart,display,data,horizontal stacked chart"
vertical-stacked-chart,,/e184,charts,"analytics,chart,display,data,vertical stacked chart"
choropleth-chart,,/e185,charts,"analytics,chart,display,data,choropleth chart,geographic,map,world"
geographic-bubble-chart,,/e186,charts,"analytics,chart,display,data,geographic,bubble,map,world"
multiple-radar-chart,,/e187,charts,"analytics,chart,display,data,multiple radar chart"
radar-chart,,/e188,charts,"analytics,chart,display,data,radar-chart"
crossed-line-chart,,/e189,charts,"analytics,chart,display,data,crossed line chart"
multiple-line-chart,,/e18a,charts,"analytics,chart,display,data,multiple line chart"
